tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
"FFS! How about laying the blame on the bastard who murdered her? Novel idea, I know. https://t.co/GI5B45THvJ","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]"
"Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666]","[0.16666666666666666, 0.0, 0.16666666666666666, 0.5, 0.0, 0.6666666666666666]"
@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333]"
"@GMB this is unacceptable. Use her title as you did for all the men interviewed. She is, in fact, senior to Angus #everydaysexism @TheWomensOrg https://t.co/JZF3a5E4eX","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
‘Making yourself a harder target’ basically boils down to ‘make sure they target someone else’ 🙃 https://t.co/VOpu09YAj6,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.0]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
"According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail.","[0.0, 1.0]","[0.0, 0.0, 0.16666666666666666, 0.8333333333333334]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.0, 0.5]"
"So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX","[0.0, 1.0]","[0.0, 0.3333333333333333, 0.16666666666666666, 0.5]","[0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334]"
New to the shelves this week - looking forward to reading these books @malorieblackman @jenlynnbarnes  @EverydaySexism #readingforpleasure #newbooks https://t.co/Q3IfmlSBCB,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
#EverydaySexism We can &amp; need to do better https://t.co/RePR48B0xv,"[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
I guess that’s fairly normal for a Neanderthal https://t.co/UkFl8tNH4F,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]"
"#EverydaySexism means women usually end up in lower paid support work; when that starts to change, traditionalists notice unfairness that previously hasn't bothered them at all. https://t.co/YOLJ9V8E6Z","[0.0, 1.0]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.6666666666666666]"
I actually had an email from Liz Truss today. She's living the dream. #everydaysexismhttps://t.co/W1YKdKhAu8,"[0.5, 0.5]","[0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
"@orlamuldoon @NWCI @IrishRunnerMag @ReclaimTS @EverydaySexism @SAFEIreland @Womens_Aid Hi Orla. Interesting piece. On No 2. As a policy response, do you believe early-in-life prosecution and punishment is the way to go with boys, young men when they offend against girls and women? Is this how you see by a zero tolerance approach being instituted?","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.0, 0.0, 0.5, 0.16666666666666666, 0.0]"
"For yourself of course. Let's start with the so called gender pay gap"" with a link to an ONS page. This  alone is an example of why feminism is needed. I'd like to add that out of 164 emoji reactions, only 30 were laughing so it really is an issue #everydaysexism 4/5 https://t.co/J3W3lqD86k","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
@MarkPaulTimes @colettebrowne #EveryDaySexism Dear God.Colette is capable of identifying sexism literally anywhere.Good to see @SocDems developing their own female Grandpa Simpson https://t.co/7bEDkdsDX4,"[0.0, 1.0]","[0.0, 0.5, 0.3333333333333333, 0.16666666666666666]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0]"
@RMatthewsPsyEdu @ITV @jamesmartinchef @EverydaySexism @CCriadoPerez @ginarippon1 The women will all be at home cooking for the family,"[0.0, 1.0]","[0.0, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.0, 0.5, 0.0, 0.16666666666666666, 0.0, 0.6666666666666666]"
@Geek_Pride @kathrynstimpson @medicalpoke @EverydaySexism Wouldn't work for women who get assaulted at home or work. Also would give the government the ability to track anyone for any reason.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]"
"February 28, 2022: Daily Mail website voyeuristically describes 2 people as ""flaunting"" &amp; 29 as ""showing off"". #dailymail #everydaysexism #misogyny","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.5, 0.0, 0.0, 0.3333333333333333]"
Sorry. My feminist rage at the old white man praising the two female women of colour and ELITE FUCKING ATHLETES on their smiles. Does Roger Federer get told ‘Nice arse’ when he wins?! #everydaysexism https://t.co/5emqIpOJ4Q,"[0.0, 1.0]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666]","[0.0, 0.16666666666666666, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333]"
Why do we create comics about sexism in science? It’s not just because we have a lot of spare time or like to doodle… Check out our blog post for @EuroGeosciences #EGUblogs #EGU22 #DidThisReallyHappen #DTHR #EverydaySexism https://t.co/XFHSn0VKs2,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.6666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.5, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
you ever get so mad at your ex you send gamergate misogynist memes about about her to your 60 million fash followers https://t.co/TO1Br7kDJp,"[0.0, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.3333333333333333]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333]"
"In other words; the games journo industry, who basically knew the entire time, are complicit? That can't be right. 🤔It's gotta be something to do with the misogynistic gamergate boogeymen. https://t.co/ql4UsT7UHI","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.6666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.3333333333333333, 0.5, 0.0, 0.0, 0.5]"
"@JavedLSterritt He's really shit on games journalists, from what I remember starting at the tail end of gamergate. He's clowned on developers that used Unity in the past. It's honestly been awhile since I've closed followed its hard to pick out specific examples","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"Low key, she was fr created because the Incredible Hulk tv show gonna do it first and Marvel wanted them rights. But these gamergate dudes need to stop. https://t.co/ssh1FlyjuR","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"One of the most important (and of course, undervalued) pieces ever published on combatting white supremacy and fascism.https://t.co/mjiYw3q1Di","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@HKesvani It's especially weird because the alt-right on YouTube is older than Breadtube, which was a reaction to RW gamergate content.","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@Women_Truths Well, they're kind of shooting themselves in the foot by injecting political drivel into entertainment. By pushing stress into escapism, you impassion people by stripping them of their release...thus spawning movements like GamerGate, ComicsGate, etc... People pushing back. (c)","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0]"
@Argumentaleon @BlazingTamaki @ColdCriti I don't even know who tf they are. Only know they were part of the whole gamergate shitstorm back in 2015.,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"as a person who lived through gamergate, these new generation incels bitching about #HorizonForbiddenWest Aloy's peachfuzz is not what I or my hairy russian futanari with shitting dick nipples hentai addicted brothers were fighting for.Give Aloy a beard and a huge cock.","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0]","[0.16666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]"
Anita as an asset? Damn I should've considered that. Her vs gamergate was one big spectacle https://t.co/x2k5KDnUt2,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.0, 0.16666666666666666]","[0.16666666666666666, 0.16666666666666666, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]"
@punishedmother I WANT TO GET OFF 2014I WANT TO GET OFF GAMERGATE'S WILD RIDE https://t.co/uJySrr4Gsr,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@datrealsam @HeyItsVadim She was a pickme ""I'm not like other girls, I LIKE gamergate"" back in the day and did the whole ""why I'm leaving the left and becoming a reactionary uwu"" arc, then when that stopped being profitable she came back to ""oh noes I'm totes on the left u guyz"" but never went back on","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666]"
@QuarantinedCoof the dummy who tried bringing back gamergate is spending his time off from waiting tables pretending to know stuff.https://t.co/TNmF65RLOg,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]"
"They still trying to grift that GamerGate money aren't they?This is what I call, ""terminally online"". https://t.co/YRfUsbteex","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"@GMShivers Oh my god, is Wu STILL on this gamergate shit? bloody hell, the inside of her brain must be slop by now.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]"
"@belet_seri @CthuhluRisen You know for a movement that's about ""hating women"" I've seen a lot of support go out to the women who were sexually harrassed and a lot of them call for punishment of those involved, especially the journalists who know and kept it hidden for years even during gamergate","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.0, 0.3333333333333333]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0]"
It will just talk about games without bring twitter drama and gamergate bullshit into it any more but I used to love Jan Garbarek as a kid.,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
The Russian bots are monitoring the situation involving Gamergate,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"It was amazing, @cliftonaduncan, and I know that anyone who might have been hesitant immediately fell in love with you when we started discussing “gamergate”! https://t.co/SLn7HMc5HU","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@oliophi You have rage issues that manifest in an internet addiction. It at least started outwardly during gamergate and when that died you needed a new fix, you already had your views on trans people but we became the new vessel for your anger.You need help.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
recently i was verbally harassed by @nathansmokee when he said i was 5’2 and don’t have any bitchesi’d like to clarify this is true but very mean,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.0, 0.5, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]"
